,date,name,type,finishers,location
0,Feb/19/2022,24 Hours of Richmond,24 Hours,10 finishers,"Powhatan, VA"
1,Feb/19/2022,Cabin Fever 50K,50 KM,197 finishers,"New River Gorge National Park, WV"
2,Feb/19/2022,Little Su 50k,50 KM,29 finishers,"Big Lake, AK"
3,Feb/19/2022,Red Dirt Ultra,100 KM,10 finishers,"Provencal, LA"
4,Feb/19/2022,Red Dirt Ultra,100 Miles,13 finishers,"Provencal, LA"
5,Feb/19/2022,Holiday Lake,50 KM,163 finishers,"Appomattox, VA"
6,Feb/19/2022,Run Forest Run,50 KM,38 finishers,"Montesano, WA"
7,Feb/19/2022,24 Hours of Richmond,12 Hours,15 finishers,"Powhatan, VA"
8,Feb/19/2022,North Marin Ridge Run,50 KM,17 finishers,"Lagunitas, CA"
9,Feb/19/2022,The Ranch 50k,50 KM,43 finishers,"Escondido, CA"
10,Feb/19/2022,Moab Red Hot 55k/33k,55 KM,175 finishers,"Moab, UT"
11,Feb/19/2022,Red Dirt Ultra,50 KM,56 finishers,"Provencal, LA"
12,Feb/19/2022,Hagg Lake,50 KM,106 finishers,"Forest Grove, OR"
13,Feb/13/2022,Montara Mountain,50 KM,29 finishers,"Pacifica, CA"
14,Feb/12/2022,Rocky 50,50 Miles,115 finishers,"Huntsville, TX"
15,Feb/12/2022,Outlaw 100 Oklahoma,100 Miles,13 finishers,"Wilburton, OK"
16,Feb/12/2022,963 Beulah Challenge,9 Hours,15 finishers,"Wildwood, MO"
17,Feb/12/2022,The Algonquin 50K,50 KM,200 finishers,"Pocomoke City, MD"
18,Feb/12/2022,Rocky 50,50 KM,162 finishers,"Huntsville, TX"
19,Feb/12/2022,Pemberton Trail,50 KM,51 finishers,"Fountain Hills, AZ"
20,Feb/12/2022,Rocky 50,50 Miles,115 finishers,"Huntsville, TX"
21,Feb/12/2022,Sandhills Trail & Ultra Festival,30 Hours,58 finishers,"Columbia, SC"
22,Feb/12/2022,Black Canyon Ultras,100 KM,515 finishers,"Mayer, AZ"
23,Feb/12/2022,The Algonquin 50K,50 KM,200 finishers,"Pocomoke City, MD"
24,Feb/12/2022,Eagle Ridge,50 KM,30 finishers,"Guntersville, AL"
25,Feb/12/2022,Outlaw 100 Oklahoma,100 Miles,13 finishers,"Wilburton, OK"
26,Feb/12/2022,Outlaw 100 Oklahoma,50 Miles,21 finishers,"Wilburton, OK"
27,Feb/12/2022,Georgia Thrill In The Hills 50K (Fort Yargo),50 KM,89 finishers,"Winder, GA"
28,Feb/12/2022,Rocky 50,50 KM,162 finishers,"Huntsville, TX"
29,Feb/12/2022,Sandhills Trail & Ultra Festival,50 KM,23 finishers,"Columbia, SC"
30,Feb/12/2022,King's Highway Trail Race,50 KM,16 finishers,"Georgetown, SC"
31,Feb/11/2022,Grandmaster Ultras,50 KM,35 finishers,"Littlefield, AZ"
32,Feb/11/2022,Grandmaster Ultras,100 KM,11 finishers,"Littlefield, AZ"
33,Feb/11/2022,The DUC,100 KM,30 finishers,"Pocomoke, MD"
34,Feb/11/2022,Frigus Snowshoe Festival,36 Hours,0 finishers,"Gansevoort, NY"
35,Feb/11/2022,Grandmaster Ultras,50 Miles,24 finishers,"Littlefield, AZ"
36,Feb/11/2022,Grandmaster Ultras,100 Miles,33 finishers,"Littlefield, AZ"
37,Feb/06/2022,Sandy Bottom 8-Hour,8 Hours,43 finishers,"Hampton, VA"
38,Feb/06/2022,Iron Horse 100 Mile Endurance Run,100 KM,10 finishers,"Florahome, FL"
39,Feb/06/2022,Gone Loco,33 Miles,20 finishers,"Athens, TN"
40,Feb/06/2022,Sandy Bottom 8-Hour,8 Hours,43 finishers,"Hampton, VA"
41,Feb/06/2022,Iron Horse 100 Mile Endurance Run,50 Miles,28 finishers,"Florahome, FL"
42,Feb/05/2022,ICY-8,8 Hours,50 finishers,"Lake Anna State Park, VA"
43,Feb/05/2022,Sycamore Canyon 100k & 50k,50 KM,31 finishers,"San Diego, CA"
44,Feb/05/2022,Frozen 50K,50 KM,14 finishers,"Cassadaga, NY"
45,Feb/05/2022,John Dick Memorial 50K,50 KM,59 finishers,"Dousman, WI"
46,Feb/05/2022,Q50 Races Trail Extravaganza,39 Miles,6 finishers,"Franklinton, LA"
47,Feb/05/2022,Happy Chinese New Year,100 KM,5 finishers,"San Diego, CA"
48,Feb/05/2022,Elephant Mountain,50 Miles,34 finishers,"Cave Creek, AZ"
49,Feb/05/2022,Q50 Races Trail Extravaganza,52 Miles,11 finishers,"Franklinton, LA"
50,Feb/05/2022,Happy Chinese New Year,50 KM,4 finishers,"San Diego, CA"
51,Feb/05/2022,Jed Smith,50 KM,40 finishers,"Sacramento, CA"
52,Feb/05/2022,Fort Ord Trail Run,50 KM,65 finishers,"Monterey, CA"
53,Feb/05/2022,Angry Tortoise 25K/50K,50 KM,24 finishers,"Bryceville, FL"
54,Feb/05/2022,Uwharrie Mountain Run,40 Miles,62 finishers,"Ophir, NC"
55,Feb/05/2022,Sean O'Brien 100k/50M,100 KM,62 finishers,"Malibu, CA"
56,Feb/05/2022,Sean O'Brien 100k/50M,50 Miles,56 finishers,"Malibu, CA"
57,Feb/05/2022,Ordnance 100K,100 KM,22 finishers,"Salinas, CA"
58,Feb/05/2022,Hallucination Trail Run,24 Hours,11 finishers,"Charleston, SC"
59,Feb/05/2022,Rut Rogue 40s,40 Miles,16 finishers,"Edgefield, SC"
60,Feb/05/2022,Forgotten Florida 100 Mile / 45 Mile / 15 Mile,100 Miles,37 finishers,"Christmas, FL"
61,Feb/05/2022,Rocky Raccoon,100 Miles,199 finishers,"Huntsville, TX"
62,Feb/05/2022,Golden Gate (Winter),50 KM,35 finishers,"Rodeo Beach, CA"
63,Feb/05/2022,Mt. Umunhum Trail Conquest,50 KM,11 finishers,"San Jose, CA"
64,Feb/05/2022,Uwharrie Mountain Run,40 Miles,62 finishers,"Ophir, NC"
65,Feb/05/2022,Hallucination Trail Run,24 Hours,11 finishers,"Charleston, SC"
66,Feb/05/2022,Happy Chinese New Year,100 KM,5 finishers,"San Diego, CA"
67,Feb/05/2022,Elephant Mountain,50 KM,74 finishers,"Cave Creek, AZ"
68,Feb/05/2022,Mill Stone 50K,50 KM,65 finishers,"Fort Mill, SC"
69,Feb/05/2022,Frozen 50K,50 KM,14 finishers,"Cassadaga, NY"
70,Feb/05/2022,Hallucination Trail Run,12 Hours,7 finishers,"Charleston, SC"
71,Feb/05/2022,John Dick Memorial 50K,50 KM,59 finishers,"Dousman, WI"
72,Feb/05/2022,Forgotten Florida 100 Mile / 45 Mile / 15 Mile,45 Miles,53 finishers,"Christmas, FL"
73,Feb/05/2022,Q50 Races Trail Extravaganza,52 Miles,11 finishers,"Franklinton, LA"
74,Feb/05/2022,Q50 Races Trail Extravaganza,39 Miles,6 finishers,"Franklinton, LA"
75,Feb/05/2022,Frozen Falls,50 KM,43 finishers,"Spencer, TN"
76,Feb/05/2022,Ordnance 100K,100 KM,22 finishers,"Salinas, CA"
77,Jan/30/2022,Clearwater Running Festival,50 KM,62 finishers,"Clearwater, FL"
78,Jan/29/2022,Bigfoot Snowshoe Festival,50 KM,1 finishers,"Midway, UT"
79,Jan/29/2022,Arches Ultra,50 KM,218 finishers,"Moab, UT"
80,Jan/29/2022,Beast of Burden - Winter,50 Miles,13 finishers,"Lockport, NY"
81,Jan/29/2022,Piney Woods TrailFest,50 KM,17 finishers,"New Caney, TX"
82,Jan/29/2022,Chehaw Challenge,50 KM,21 finishers,"Albany, GA"
83,Jan/29/2022,AZT Oracle Rumble,50 KM,51 finishers,"Tucson, AZ"
84,Jan/29/2022,Arches Ultra,50 KM,218 finishers,"Moab, UT"
85,Jan/29/2022,Frigid 50K,50 KM,9 finishers,"Mt. Vernon, OH"
86,Jan/29/2022,Thrift Store 50K and Half Marathon,50 KM,8 finishers,"Pelham, AL"
87,Jan/29/2022,Skydive Ultra Run,100 Miles,8 finishers,"Clewiston, FL"
88,Jan/29/2022,Bigfoot Snowshoe Festival,50 KM,1 finishers,"Midway, UT"
89,Jan/29/2022,Skydive Ultra Run,100 KM,2 finishers,"Clewiston, FL"
90,Jan/29/2022,Skydive Ultra Run,50 KM,20 finishers,"Clewiston, FL"
91,Jan/29/2022,The Itch,50 KM,11 finishers,"Ocala, FL"
92,Jan/29/2022,Black Toe Run,48 Hours,6 finishers,"Watertown, TN"
93,Jan/29/2022,AZT Oracle Rumble,50 Miles,18 finishers,"Tucson, AZ"
94,Jan/29/2022,Beast of Burden - Winter,100 Miles,9 finishers,"Lockport, NY"
95,Jan/29/2022,Black Toe Run,24 Hours,12 finishers,"Watertown, TN"
96,Jan/29/2022,Folsom Lake Sweet Water Trail Run,50 KM,29 finishers,"Folsom, CA"
97,Jan/29/2022,Cactus Roulette Endurance Event,24 Hours,6 finishers,"Lawrence, KS"
98,Jan/29/2022,Skydive Ultra Run,50 Miles,7 finishers,"Clewiston, FL"
99,Jan/29/2022,TARCtic Frozen Yeti Trail Races,30 Hours,39 finishers,"Westwood, MA"
100,Jan/29/2022,The Itch,50 KM,11 finishers,"Ocala, FL"
101,Jan/29/2022,Black Toe Run,12 Hours,8 finishers,"Watertown, TN"
102,Jan/29/2022,Cactus Roulette Endurance Event,6 Hours,3 finishers,"Lawrence, KS"
103,Jan/29/2022,AZT Oracle Rumble,50 Miles,18 finishers,"Tucson, AZ"
104,Jan/29/2022,Skydive Ultra Run,50 KM,20 finishers,"Clewiston, FL"
105,Jan/29/2022,Chehaw Challenge,50 KM,21 finishers,"Albany, GA"
106,Jan/29/2022,Beast of Burden - Winter,100 Miles,9 finishers,"Lockport, NY"
107,Jan/29/2022,Skydive Ultra Run,100 KM,2 finishers,"Clewiston, FL"
108,Jan/23/2022,Calico Trail Run,50 KM,79 finishers,"Barstow, CA"
109,Jan/22/2022,Running the Rose,54 KM,66 finishers,"Tyler, TX"
110,Jan/22/2022,Running the Rose,108 KM,24 finishers,"Tyler, TX"
111,Jan/22/2022,No Hands,50 KM,44 finishers,"Auburn, CA"
112,Jan/22/2022,Mountain Mist,50 KM,391 finishers,"Huntsville, AL"
113,Jan/22/2022,Mo Big Butt 50k,50 KM,10 finishers,"Lancaster, SC"
114,Jan/22/2022,Frosty Fat Sass,6 Hours,20 finishers,"West Orange, NJ"
115,Jan/22/2022,David's Trail Endurance Run,50 KM,33 finishers,"Mountain Home, AR"
116,Jan/22/2022,The Urban Ultra - Dallas,50 KM,19 finishers,"Dallas, TX"
117,Jan/22/2022,Angela Ivory Memorial Runs,24 Hours,12 finishers,"Felton, DE"
118,Jan/22/2022,Hellcat 50km Endurance Run,50 KM,52 finishers,"Green Cove Springs, FL"
119,Jan/22/2022,Angela Ivory Memorial Runs,50 KM,17 finishers,"Felton, DE"
120,Jan/22/2022,No Hands,50 KM,44 finishers,"Auburn, CA"
121,Jan/22/2022,Frosty Fat Sass,6 Hours,20 finishers,"West Orange, NJ"
122,Jan/22/2022,Angela Ivory Memorial Runs,24 Hours,12 finishers,"Felton, DE"
123,Jan/22/2022,Running the Rose,54 KM,66 finishers,"Tyler, TX"
124,Jan/20/2022,Southern Tour Ultra,50 Miles,14 finishers,"Wilmington, NC"
125,Jan/20/2022,Southern Tour Ultra,Backyard,12 finishers,"Wilmington, NC"
126,Jan/20/2022,Southern Tour Ultra,50 KM,53 finishers,"Wilmington, NC"
127,Jan/16/2022,Crystal Springs - Winter,50 KM,43 finishers,"Woodside, CA"
128,Jan/16/2022,Big Bend,50 KM,42 finishers,"Big Bend Ranch State Park, TX"
129,Jan/16/2022,Big Bend,50 Miles,22 finishers,"Big Bend Ranch State Park, TX"
130,Jan/15/2022,Long Haul 100,100 Miles,103 finishers,"Wesley Chapel, FL"
131,Jan/15/2022,Bear Bait Ultras,100 KM,10 finishers,"Milton, FL"
132,Jan/15/2022,Phunt 50KM Trail Race,50 KM,70 finishers,"Elkton, MD"
133,Jan/15/2022,San Diego 50 and Trail Marathon,50 Miles,89 finishers,"Escondido, CA"
134,Jan/15/2022,Coldwater Rumble,52 KM,65 finishers,"Goodyear, AZ"
135,Jan/15/2022,Bear Bait Ultras,50 KM,37 finishers,"Milton, FL"
136,Jan/15/2022,HURT 100,100 Miles,46 finishers,"Honolulu, HI"
137,Jan/15/2022,MC Broken Ankle,12 Hours,18 finishers,"Gastonia, NC"
138,Jan/15/2022,Bear Bait Ultras,50 Miles,11 finishers,"Milton, FL"
139,Jan/15/2022,St. Croix 40 Winter Ultra,40 Miles,38 finishers,"Hinckley, MN"
140,Jan/15/2022,San Diego 50 and Trail Marathon,50 Miles,89 finishers,"Escondido, CA"
141,Jan/15/2022,Triple D Winter Race,50 KM,2 finishers,"Dubuque, IA"
142,Jan/15/2022,Frozen: H3,50 KM,1 finishers,"Bethera, SC"
143,Jan/15/2022,Coldwater Rumble,100 Miles,66 finishers,"Goodyear, AZ"
144,Jan/15/2022,Phunt 50KM Trail Race,50 Miles,19 finishers,"Elkton, MD"
145,Jan/15/2022,Swamp Stomper,50 KM,23 finishers,"Millington, TN"
146,Jan/15/2022,Frozen: H3,100 KM,1 finishers,"Bethera, SC"
147,Jan/15/2022,8 Hours of Ode,8 Hours,20 finishers,"Holly, MI"
148,Jan/15/2022,Long Haul 100,100 Miles,103 finishers,"Wesley Chapel, FL"
149,Jan/15/2022,Bear Bait Ultras,100 KM,10 finishers,"Milton, FL"
150,Jan/15/2022,MC Broken Ankle,12 Hours,18 finishers,"Gastonia, NC"
151,Jan/15/2022,Coldwater Rumble,52 Miles,32 finishers,"Goodyear, AZ"
152,Jan/15/2022,Frozen: H3,50 Miles,6 finishers,"Bethera, SC"
153,Jan/15/2022,Tsali Frosty Foot,50 KM,53 finishers,"Almond, NC"
154,Jan/15/2022,St. Croix 40 Winter Ultra,40 Miles,38 finishers,"Hinckley, MN"
155,Jan/15/2022,Bear Bait Ultras,50 KM,37 finishers,"Milton, FL"
156,Jan/14/2022,Frozen: H3,100 KM,4 finishers,"Bethera, SC"
157,Jan/11/2022,H9 Fierce Dragon (200M),200 Miles,2 finishers,"Blairsville, GA"
158,Jan/11/2022,H9 Fierce Dragon (200M),100 Miles,1 finishers,"Blairsville, GA"
159,Jan/11/2022,H9 Fierce Dragon (200M),40 Miles,12 finishers,"Blairsville, GA"
160,Jan/09/2022,Atlanta Fat Ass 50K,50 KM,27 finishers,"Lithia Springs, GA"
161,Jan/09/2022,Winter Challenge Cross Country IV,6 Hours,3 finishers,"Chicago, IL"
162,Jan/09/2022,Del Dios Trail Race,50 KM,42 finishers,"Escondido, CA"
163,Jan/08/2022,Avalon Benefit 50,50 KM,316 finishers,"Avalon, CA"
164,Jan/08/2022,Ultra Crazy New Years Run,50 KM,21 finishers,"Cary, NC"
165,Jan/08/2022,Retreat Repeat,8 Hours,37 finishers,"Shulerville, SC"
166,Jan/08/2022,Bridle Trails Winter Trail Running Festival,50 KM,44 finishers,"Bellevue, WA"
167,Jan/08/2022,San Tan Scramble,50 KM,62 finishers,"Queen Creek, AZ"
168,Jan/08/2022,Yankee Springs Winter Challenge,50 Miles,15 finishers,"Middleville, MI"
169,Jan/08/2022,The Shippey Endurance Runs,100 KM,14 finishers,"High Ridge, MO"
170,Jan/08/2022,The Wildcatter Ultra,50 KM,15 finishers,"Graham, TX"
171,Jan/08/2022,Wild Azalea Trail Challenge,50 Miles,15 finishers,"Alexandria, LA"
172,Jan/08/2022,GAC FA50,50 KM,19 finishers,"Topsfield, MA"
173,Jan/08/2022,Salem Lakeshore Frosty Fifty,50 KM,63 finishers,"Winston-Salem, NC"
174,Jan/08/2022,Wild Azalea Trail Challenge,27 Miles,25 finishers,"Alexandria, LA"
175,Jan/08/2022,The Shippey Endurance Runs,100 Miles,1 finishers,"High Ridge, MO"
176,Jan/08/2022,Ultra Crazy New Years Run,50 Miles,6 finishers,"Cary, NC"
177,Jan/08/2022,Frozen Sasquatch Trail Race,50 KM,34 finishers,"Charleston, WV"
178,Jan/08/2022,Bandera,100 KM,311 finishers,"Bandera, TX"
179,Jan/08/2022,Sean O'Brien 50k,50 KM,47 finishers,"Malibu, CA"
180,Jan/08/2022,Ultra Crazy New Years Run,50 KM,21 finishers,"Cary, NC"
181,Jan/08/2022,Harbison 50K,50 KM,55 finishers,"Columbia, SC"
182,Jan/08/2022,The Shippey Endurance Runs,100 KM,14 finishers,"High Ridge, MO"
183,Jan/08/2022,The Great Scorpion Trail Run,50 KM,31 finishers,"Meridian, MS"
184,Jan/08/2022,Ultra Crazy New Years Run,50 Miles,6 finishers,"Cary, NC"
185,Jan/08/2022,San Tan Scramble,50 KM,62 finishers,"Queen Creek, AZ"
186,Jan/08/2022,Bridle Trails Winter Trail Running Festival,50 KM,44 finishers,"Bellevue, WA"
187,Jan/08/2022,Sean O'Brien 50k,50 KM,47 finishers,"Malibu, CA"
188,Jan/07/2022,Just Survive 125,200 KM,3 finishers,"Hobe Sound, FL"
189,Jan/02/2022,Vista View 360,6 Hours,23 finishers,"Davie, FL"
190,Jan/02/2022,Ultra Running 50K,50 KM,4 finishers,"Spring Hill, FL"
191,Jan/01/2022,Croom Zoom,100 KM,7 finishers,"Brooksville, FL"
192,Jan/01/2022,GET LIT Trail Run,8 Hours,1 finishers,"Piqua, OH"
193,Jan/01/2022,Croom Zoom,50 KM,46 finishers,"Brooksville, FL"
194,Jan/01/2022,Run Your Past Off,6 Hours,4 finishers,"Valders, WI"
195,Jan/01/2022,Across the Years,12 Hours,7 finishers,"Phoenix, AZ"
196,Jan/01/2022,7 Hours of Steflik New Year Celebration,7 Hours,11 finishers,"Flagler Beach, FL"
197,Jan/01/2022,Resolution Run,10 Hours,28 finishers,"Traveler's Rest, SC"
198,Jan/01/2022,Red Eye 50k,50 KM,20 finishers,"Triangle, VA"
199,Jan/01/2022,Resolution Run,5 Hours,5 finishers,"Traveler's Rest, SC"
200,Jan/01/2022,Red Eye 50k,50 KM,20 finishers,"Triangle, VA"
201,Jan/01/2022,Croom Zoom,50 KM,46 finishers,"Brooksville, FL"
202,Jan/01/2022,Croom Zoom,100 KM,7 finishers,"Brooksville, FL"
203,Dec/31/2021,New Year's One Day,12 Hours,31 finishers,"San Francisco, CA"
204,Dec/31/2021,New Year's One Day,6 Hours,23 finishers,"San Francisco, CA"
205,Dec/31/2021,New Year's One Day,24 Hours,33 finishers,"San Francisco, CA"
206,Dec/31/2021,Go Big,50 KM,2 finishers,"Hilo, HI"
207,Dec/31/2021,Go Big,260 Miles,4 finishers,"Hilo, HI"
208,Dec/31/2021,Go Big,100 Miles,1 finishers,"Hilo, HI"
209,Dec/31/2021,Go Big,100 KM,1 finishers,"Hilo, HI"
210,Dec/31/2021,Hainesport Hundred,24 Hours,33 finishers,"Hainesport, NJ"
211,Dec/31/2021,Hainesport Hundred,100 Miles,17 finishers,"Hainesport, NJ"
212,Dec/31/2021,Hainesport Hundred,12 Hours,2 finishers,"Hainesport, NJ"
213,Dec/31/2021,Hainesport Hundred,12 Hours,17 finishers,"Hainesport, NJ"
214,Dec/31/2021,HTC Recover From the Holidays 50k,50 KM,51 finishers,"Huntsville, AL"
215,Dec/31/2021,Round the Bay Relay and Ultra,36.8 Miles,20 finishers,"Fort Walton Beach, FL"
216,Dec/31/2021,Across the Years,100 Miles,21 finishers,"Phoenix, AZ"
217,Dec/31/2021,Across the Years,24 Hours,126 finishers,"Phoenix, AZ"
218,Dec/30/2021,Snowdrop Ultra,55 Hours,123 finishers,"Sugar Land, TX"
219,Dec/28/2021,Across the Years,240 Hours,33 finishers,"Phoenix, AZ"
220,Dec/28/2021,Across the Years,144 Hours,41 finishers,"Phoenix, AZ"
221,Dec/28/2021,Across the Years,72 Hours,51 finishers,"Phoenix, AZ"
222,Dec/28/2021,Across the Years,48 Hours,71 finishers,"Phoenix, AZ"
223,Dec/27/2021,Charleston 100,100 Miles,32 finishers,"Charleston, SC"
224,Dec/26/2021,DayDayUp Miramar,24 Hours,9 finishers,"San Diego, CA"
225,Dec/26/2021,The Underground Circus 100 Winter edition,30 Miles,1 finishers,"Atlanta, GA"
226,Dec/26/2021,The Underground Circus 100 Winter edition,100 Miles,1 finishers,"Atlanta, GA"
227,Dec/26/2021,The Underground Circus 100 Winter edition,12 Hours,0 finishers,"Atlanta, GA"
228,Dec/26/2021,The Underground Circus 100 Winter edition,6 Hours,0 finishers,"Atlanta, GA"
229,Dec/19/2021,Naked Nick,50 KM,141 finishers,"Leesport, PA"
230,Dec/18/2021,Savannah Ultra Urban 50k Run,50 KM,25 finishers,"Savannah, GA"
231,Dec/18/2021,Wood Splitter Winter Solstice,9 Hours,14 finishers,"Mount Vernon, OH"
232,Dec/18/2021,Run for the Ranch,6 Hours,6 finishers,"Springfield, MO"
233,Dec/18/2021,Last Chance Ultra,100 Miles,5 finishers,"Stockton, MO"
234,Dec/18/2021,Last Chance Ultra,50 Miles,16 finishers,"Stockton, MO"
235,Dec/18/2021,Last Chance Ultra,50 KM,42 finishers,"Stockton, MO"
236,Dec/18/2021,Frosty Looper 8-hour,8 Hours,98 finishers,"Pennsauken, NJ, NJ"
237,Dec/18/2021,Banshee Solstice,8.5 Hours,10 finishers,"Issaquah, WA"
238,Dec/18/2021,Cave Creek Thriller,50 KM,72 finishers,"Cave Creek, AZ"
239,Dec/18/2021,Bootlegger,50 KM,32 finishers,"Boulder City, NV"
240,Dec/18/2021,Tallahassee Ultradistance Classic,50 KM,31 finishers,"Wakulla Springs, FL"
241,Dec/18/2021,Tallahassee Ultradistance Classic,50 Miles,11 finishers,"Wakulla Springs, FL"
242,Dec/18/2021,Lookout Mountain,50 Miles,51 finishers,"Lookout Mountain, GA"
243,Dec/18/2021,Seashore Nature Trail,50 KM,202 finishers,"Virginia Beach, VA"
244,Dec/18/2021,Beast for a Day,6 Hours,0 finishers,"St Francisville, LA"
245,Dec/18/2021,Beast for a Day,12 Hours,10 finishers,"St Francisville, LA"
246,Dec/18/2021,Paramount Ranch Trail Runs,50 KM,49 finishers,"Calabasas, CA"
247,Dec/18/2021,The HUFF 50K Trail Run & Relay,50 KM,157 finishers,"Albion, IN"
248,Dec/18/2021,Ancient Oaks,100 Miles,15 finishers,"Titusville, FL"
249,Dec/18/2021,Woodside Ramble - Winter,50 KM,99 finishers,"Woodside, CA"
250,Dec/18/2021,Trail of Fears,Backyard,29 finishers,"Jackson, TN"
251,Dec/12/2021,Dallas 50K,50 KM,192 finishers,"Dallas, TX"
252,Dec/12/2021,Palmetto Bluff Buffalo Run,50 KM,23 finishers,"Bluffton, SC"
253,Dec/11/2021,Freight Train 100k/50k,50 KM,137 finishers,"Farmville, VA"
254,Dec/11/2021,Freight Train 100k/50k,100 KM,33 finishers,"Farmville, VA"
255,Dec/11/2021,Saint Lucie Skeeter Skoot,100 KM,10 finishers,"Fort Pierce, FL"
256,Dec/11/2021,Saint Lucie Skeeter Skoot,50 KM,25 finishers,"Fort Pierce, FL"
257,Dec/11/2021,Bridgeport Trail Run,54 KM,23 finishers,"Bridgeport, TX"
258,Dec/11/2021,Prisoner of War Ultra,30 Hours,23 finishers,"Spartanburg, SC"
259,Dec/11/2021,Prisoner of War Ultra,50 KM,20 finishers,"Spartanburg, SC"
260,Dec/11/2021,Blaze Pioneer Trail Run,50 KM,17 finishers,"Middleburg, FL"
261,Dec/11/2021,The Backland,Backyard,12 finishers,"Gordonville, TX"
262,Dec/11/2021,Vermont Krampuslauf 50K,50 KM,10 finishers,"Pomfret, VT"
263,Dec/11/2021,"Stillwater Ultras   3hr, 6hr, 12hr, 24hr",12 Hours,11 finishers,"Canton, NC"
264,Dec/11/2021,"Stillwater Ultras   3hr, 6hr, 12hr, 24hr",24 Hours,10 finishers,"Canton, NC"
265,Dec/11/2021,"Stillwater Ultras   3hr, 6hr, 12hr, 24hr",6 Hours,6 finishers,"Canton, NC"
266,Dec/11/2021,Bulow Woods Trail Race and Ultra Marathon,50 KM,54 finishers,"Ormond Beach, FL"
267,Dec/11/2021,Jupiter Ridge Sand Spur,50 KM,17 finishers,"Jupiter, FL"
268,Dec/11/2021,Jupiter Ridge Sand Spur,81 Miles,13 finishers,"Jupiter, FL"
269,Dec/11/2021,Beast of the East (Monadnock Ultra),100 Miles,15 finishers,"Kings Mountain, NC"
270,Dec/11/2021,Beast of the East (Monadnock Ultra),50 Miles,28 finishers,"Kings Mountain, NC"
271,Dec/11/2021,Rodeo Beach,50 KM,22 finishers,"Sausalito, CA"
272,Dec/11/2021,Pigtails Run,50 KM,27 finishers,"Ravensdale, WA"
273,Dec/11/2021,Bigfoot 50k,50 KM,100 finishers,"Lore City, OH"
274,Dec/11/2021,Desert Solstice,100 Miles,18 finishers,"Phoenix, AZ"
275,Dec/11/2021,Desert Solstice,24 Hours,25 finishers,"Phoenix, AZ"
276,Dec/11/2021,Desert Solstice,50 KM                                     (split),25 finishers,"Phoenix, AZ"
277,Dec/11/2021,Desert Solstice,12 Hours                                     (split),25 finishers,"Phoenix, AZ"
278,Dec/11/2021,Desert Solstice,100 KM                                     (split),23 finishers,"Phoenix, AZ"
279,Dec/11/2021,Desert Solstice,50 Miles                                     (split),1 finishers,"Phoenix, AZ"
280,Dec/11/2021,Hellgate,100 KM,122 finishers,"Fincastle, VA"
281,Dec/11/2021,Buts Bearly Ultra,27 Miles,17 finishers,"Birmingham, AL"
282,Dec/11/2021,Sawmill Trail Runs,50 KM,37 finishers,"Pine, CO"
283,Dec/11/2021,Bell Ringer 50K/25K Trail Run,50 KM,83 finishers,"Burns, TN"
284,Dec/11/2021,The Nutcracker 12 hour Endurance Run,12 Hours,57 finishers,"Dunn, NC"
285,Dec/11/2021,The Nutcracker 12 hour Endurance Run,6 Hours,18 finishers,"Dunn, NC"
286,Dec/11/2021,Colossal-Vail 50/50,55 KM,97 finishers,"Vail, AZ"
287,Dec/11/2021,Colossal-Vail 50/50,50 Miles,43 finishers,"Vail, AZ"
288,Dec/11/2021,Hitchcock Experience,100 KM,6 finishers,"Honey Creek, IA"
289,Dec/11/2021,Hitchcock Experience,50 Miles,24 finishers,"Honey Creek, IA"
290,Dec/11/2021,Hitchcock Experience,100 Miles,30 finishers,"Honey Creek, IA"
291,Dec/10/2021,Mosaic Trail Run,50 KM,27 finishers,"Liberty Hill, TX"
292,Dec/05/2021,PPTC 50th Anniversary 50M Endurance Fest,50 Miles,50 finishers,"Brooklyn, NY"
293,Dec/05/2021,Over The Hill Track Club High Desert 50K,50 KM,99 finishers,"Ridgecrest, CA"
294,Dec/05/2021,Hunter S. Thompson Fear & Loathing,50 Miles,12 finishers,"San Francisco, CA"
295,Dec/05/2021,Hunter S. Thompson Fear & Loathing,50 KM,46 finishers,"San Francisco, CA"
296,Dec/05/2021,Pine Mountain Trail Run,40 Miles,33 finishers,"Pine Mountain, GA"
297,Dec/05/2021,Guana River,50 KM,43 finishers,"Ponte Vedra Beach, FL"
298,Dec/04/2021,Anza Borrego Cuyamaca 50 Mile Run,50 Miles,38 finishers,"Julian, CA"
299,Dec/04/2021,Shakori 40 Running Festival,40 Miles,35 finishers,"Pittsboro, NC"
300,Dec/04/2021,The Tennessee Mile,24 Hours,24 finishers,"Franklin, TN"
301,Dec/04/2021,The Tennessee Mile,12 Hours,24 finishers,"Franklin, TN"
302,Dec/04/2021,The Tennessee Mile,6 Hours,1 finishers,"Franklin, TN"
303,Dec/04/2021,The Tennessee Mile,40 Hours,20 finishers,"Franklin, TN"
304,Dec/04/2021,The Tennessee Mile,8 Hours,2 finishers,"Franklin, TN"
305,Dec/04/2021,Shred and Tread Endurance Race,6 Hours,5 finishers,"Wewoka, OK"
306,Dec/04/2021,Dismal Swamp 100k & 50K,100 KM,13 finishers,"Chesapeake, VA"
307,Dec/04/2021,Dismal Swamp 100k & 50K,50 KM,28 finishers,"Chesapeake, VA"
